,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
VA,4973,3781,3197,64.29%,4041,885,47,780,2686,2258,29,122,86,4041,3050,2686,66.47%,1333,192,565,2025,1987,29,36,29,885,684,464,52.43%,215,661,224,0,54,57,47,47,47,100.00%,0,0,47,0,32,0,2664,2215,2083,78.19%,610,1943,721,0,215,42,4660,4660,3068,65.84%,535,1413,3247,0,1703,7,1752,1141,1141,1116,97.81%,140,518,623,0,25,0
VI,92,65,57,61.96%,34,58,0,17,19,73,0,0,0,34,22,22,64.71%,0,0,2,4,30,0,0,0,58,43,35,60.34%,15,15,43,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,0,0,24,0,22,0,45,45,45,100.00%,0,0,45,0,2,0,0,0,0,0,.,0,0,0,0,0,0
VT,823,649,564,68.53%,621,202,0,87,299,506,18,61,81,621,498,462,74.40%,204,353,72,258,348,15,4,28,202,151,102,50.50%,15,41,158,3,57,53,0,0,0,.,0,0,0,0,0,0,576,542,417,72.40%,149,443,133,0,50,0,550,550,313,56.91%,35,107,443,0,237,0,502,104,104,26,25.00%,2,8,96,0,0,0
WA,14817,13294,10113,68.25%,10213,4520,84,1983,7043,7540,234,501,951,10213,9198,7062,69.15%,1109,285,1067,4006,6037,170,112,416,4520,4012,2967,65.64%,916,3037,1419,64,350,535,84,84,84,100.00%,0,0,84,0,39,0,5661,5192,4770,84.26%,1090,3251,2393,17,578,276,12204,12166,10149,83.16%,1122,3388,8816,0,3590,106,5768,4669,4462,3851,82.48%,1075,3695,974,0,172,227
WI,4341,3221,2915,67.15%,3215,1072,54,739,2380,1908,53,232,114,3215,2354,2228,69.30%,564,333,535,1687,1477,51,0,87,1072,813,633,59.05%,204,693,377,2,232,27,54,54,54,100.00%,0,0,54,0,0,0,1556,1452,1503,96.59%,339,1225,331,0,71,109,3706,3697,3350,90.39%,347,1112,2594,0,1409,18,1168,740,740,672,90.81%,71,275,465,0,92,0
WV,1480,1109,923,62.36%,1284,188,8,188,602,864,14,70,57,1284,946,766,59.66%,65,202,157,535,738,11,39,11,188,155,149,79.26%,31,67,118,3,31,46,8,8,8,100.00%,0,0,8,0,0,0,667,609,601,90.10%,85,284,383,0,102,0,1199,1199,795,66.31%,146,385,814,0,542,3,444,130,122,122,93.85%,9,26,104,0,8,0
WY,804,599,585,72.76%,533,271,0,125,325,418,61,20,115,533,328,322,60.41%,0,0,99,225,301,7,0,7,271,271,263,97.05%,26,100,117,54,20,108,0,0,0,.,0,0,0,0,0,0,34,34,34,100.00%,3,10,24,0,32,0,210,210,58,27.62%,25,78,132,0,152,0,58,0,0,0,.,0,0,0,0,0,0
Total,396149,346851,286968,72.44%,301589,92258,2302,58858,189422,203688,3039,17958,15804,301589,264311,224659,74.49%,20958,14919,44503,146083,153095,2411,4209,6276,92258,80283,60133,65.18%,14350,43324,48311,623,12538,9499,2302,2257,2176,94.53%,5,15,2282,5,1211,29,122815,114321,109582,89.23%,29049,88049,34703,63,13152,5510,373030,370163,283173,75.91%,44554,128076,244812,142,105841,5179,179569,49877,49264,37521,75.23%,9388,28547,21273,57,1607,751

,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,1878,1486,1333,70.98%,1374,504,0,211,677,1169,32,15,160,1374,1063,935,68.05%,194,41,129,420,928,26,0,80,504,423,398,78.97%,82,257,241,6,15,80,0,0,0,.,0,0,0,0,0,0,238,237,237,99.58%,36,135,103,0,25,0,987,987,505,51.17%,94,286,701,0,458,0,423,71,71,71,100.00%,0,0,71,0,0,0
AL,2701,2204,1534,56.79%,1937,730,34,319,982,1669,50,158,138,1937,1587,1088,56.17%,46,46,207,673,1236,28,112,65,730,583,412,56.44%,112,309,399,22,46,73,34,34,34,100.00%,0,0,34,0,0,0,208,208,208,100.00%,47,123,85,0,71,7,3166,3166,1876,59.25%,286,811,2355,0,1323,4,953,8,8,0,0,0,0,8,0,0,0
AR,1917,1324,689,35.94%,1497,420,0,242,808,1085,24,106,78,1497,966,442,29.53%,20,198,187,655,818,24,47,42,420,358,247,58.81%,55,153,267,0,59,36,0,0,0,.,0,0,0,0,0,0,300,300,300,100.00%,35,109,191,0,49,0,1191,1191,637,53.48%,260,485,706,0,538,0,209,0,0,0,.,0,0,0,0,0,0
AZ,6568,5277,4649,70.78%,3787,2713,68,888,3112,3410,46,623,197,3787,2915,2694,71.14%,136,161,426,1636,2113,38,107,79,2713,2294,1887,69.55%,462,1476,1229,8,463,118,68,68,68,100.00%,0,0,68,0,53,0,2512,2447,2510,99.92%,471,1691,821,0,470,71,9238,9238,8094,87.62%,759,2522,6716,0,2582,52,2058,315,315,315,100.00%,59,254,61,0,29,10
CA,46306,41794,30687,66.27%,31028,14969,309,6435,20804,25257,245,3123,2562,31028,28236,20764,66.92%,4334,652,4047,13596,17205,227,850,855,14969,13249,9634,64.36%,2388,7208,7743,18,2034,1707,309,309,289,93.53%,0,0,309,0,239,0,20441,19426,18679,91.38%,4506,14646,5793,2,1866,504,65397,64987,48295,73.85%,6310,19569,45811,17,20662,817,30539,4695,4658,2707,57.66%,774,2194,2501,0,406,76
CO,8196,7631,3763,45.91%,4796,3337,63,1451,3227,4945,24,394,182,4796,4289,1891,39.43%,726,378,632,1160,3622,14,37,86,3337,3304,1834,54.96%,819,2067,1260,10,319,96,63,38,38,60.32%,0,0,63,0,38,0,1137,1075,1074,94.46%,242,809,315,13,210,56,4862,4849,3373,69.37%,518,927,3872,63,2105,95,3816,662,662,332,50.15%,18,41,621,0,25,0
CT,2697,2385,2296,85.13%,2147,545,5,354,1144,1537,16,184,129,2147,1906,1856,86.45%,291,119,272,941,1190,16,19,21,545,474,435,79.82%,82,203,342,0,160,108,5,5,5,1,0,0,5,0,5,0,1020,1020,1020,100.00%,160,514,506,0,229,3,7151,7080,5855,81.88%,770,2292,4859,0,1098,27,5310,0,0,0,.,0,0,0,0,0,0
DC,6156,5832,5461,88.71%,4651,1505,0,892,2872,3269,15,169,561,4651,4588,4437,95.40%,739,100,667,2267,2369,15,0,135,1505,1244,1024,68.04%,225,605,900,0,169,426,0,0,0,.,0,0,0,0,0,0,5904,5904,5904,100.00%,1834,5617,287,0,47,0,7546,7423,6466,85.69%,1276,3983,3563,0,1416,71,7546,2307,2307,2307,100.00%,625,1938,369,0,19,0
DE,1014,941,486,47.93%,577,437,0,198,452,558,4,58,15,577,504,298,51.65%,0,247,79,206,367,4,16,4,437,437,188,43.02%,119,246,191,0,42,11,0,0,0,.,0,0,0,0,0,0,131,131,131,100.00%,28,80,51,0,44,0,904,904,737,81.53%,63,177,727,0,167,0,724,100,100,85,85.00%,0,0,100,0,12,0
FL,18617,16090,13742,73.81%,11595,6805,217,1945,7267,10936,414,1321,907,11595,9535,8733,75.32%,428,769,1221,4822,6430,343,264,507,6805,6338,4792,70.42%,724,2445,4289,71,914,400,217,217,217,100.00%,0,0,217,0,143,0,6161,6083,6053,98.25%,1410,4693,1461,7,970,221,18547,18547,14751,79.53%,2263,6167,12380,0,7952,172,10498,1993,1993,1285,64.48%,253,646,1347,0,96,17
GA,7600,6186,4806,63.24%,4702,2898,0,863,3073,4498,29,273,185,4702,3687,3010,64.02%,240,272,559,1954,2724,24,67,127,2898,2499,1796,61.97%,304,1119,1774,5,206,58,0,0,0,.,0,0,0,0,0,0,2809,2619,2585,92.03%,712,2246,563,0,504,160,8099,8070,6928,85.54%,1255,2921,5178,0,2722,44,3295,254,254,80,31.50%,33,180,74,0,1,0
GU,161,94,89,55.28%,155,6,0,33,108,34,19,5,24,155,88,83,53.55%,0,7,31,106,31,18,5,18,6,6,6,100.00%,2,2,3,1,0,6,0,0,0,.,0,0,0,0,0,0,90,90,90,100.00%,12,64,26,0,27,0,166,166,72,43.37%,19,67,99,0,94,0,73,3,3,3,1,0,0,3,0,0,0
HI,3121,2975,2901,92.95%,1757,1320,44,472,1754,1351,16,178,47,1757,1629,1579,89.87%,0,14,250,856,885,16,54,36,1320,1302,1278,96.82%,222,898,422,0,80,11,44,44,44,100.00%,0,0,44,0,44,0,1344,1344,1303,96.95%,231,945,393,6,218,53,3209,3209,2518,78.47%,274,1129,2080,0,1013,0,560,60,60,0,0,15,60,0,0,0,0
IA,2518,2103,1617,64.22%,1549,945,24,320,1014,1487,17,93,96,1549,1234,927,59.85%,342,113,172,540,993,16,5,29,945,845,666,70.48%,148,474,470,1,64,67,24,24,24,100.00%,0,0,24,0,24,0,804,503,503,62.56%,160,521,283,0,90,20,1036,1012,728,70.27%,72,253,783,0,444,1,836,239,239,239,100.00%,40,165,74,0,8,0
ID,1466,1147,449,30.63%,1076,390,0,192,675,781,10,93,10,1076,842,391,36.34%,56,189,116,448,618,10,34,10,390,305,58,14.87%,76,227,163,0,59,0,0,0,0,.,0,0,0,0,0,0,378,378,309,81.75%,85,314,64,0,90,4,909,903,860,94.61%,95,307,602,0,486,0,456,0,0,0,.,0,0,0,0,0,0
IL,9939,8541,7910,79.59%,6913,2944,82,1367,4613,5220,106,455,845,6913,5940,5473,79.17%,710,162,786,2934,3893,86,109,275,2944,2519,2355,79.99%,581,1679,1245,20,320,570,82,82,82,100.00%,0,0,82,0,26,0,2486,2388,2338,94.05%,572,1675,811,0,452,18,14752,14659,11486,77.86%,1899,6208,8543,1,3754,61,4261,519,420,361,69.56%,133,394,125,0,62,27
IN,5916,4494,3071,51.91%,4255,1609,52,762,2653,3193,70,443,102,4255,3278,2207,51.87%,425,277,535,1886,2302,67,84,74,1609,1164,812,50.47%,227,767,839,3,334,28,52,52,52,100.00%,0,0,52,0,25,0,1120,923,918,81.96%,251,840,280,0,151,12,3757,3701,2648,70.48%,514,1270,2487,0,1233,9,1190,174,174,52,29.89%,4,15,159,0,86,0
KS,2561,1928,884,34.52%,1685,876,0,341,1258,1299,4,55,83,1685,1216,615,36.50%,251,68,174,723,958,4,46,4,876,712,269,30.71%,167,535,341,0,9,79,0,0,0,.,0,0,0,0,0,0,695,682,672,96.69%,171,520,162,13,78,16,1506,1506,1198,79.55%,173,467,1039,0,535,141,432,0,0,0,.,0,0,0,0,0,0
KY,3049,2473,1593,52.25%,2397,652,0,316,1123,1888,38,311,113,2397,1868,1074,44.81%,353,484,256,920,1439,38,50,57,652,605,519,79.60%,60,203,449,0,261,56,0,0,0,.,0,0,0,0,0,0,1139,881,881,77.35%,270,858,281,0,100,86,3228,3073,2557,79.21%,371,1164,2064,0,984,50,1463,236,236,226,95.76%,21,60,176,0,0,0
LA,2708,2333,2030,74.96%,1791,862,55,240,785,1868,55,385,235,1791,1522,1327,74.09%,0,53,173,554,1188,49,87,116,862,756,648,75.17%,67,231,625,6,258,119,55,55,55,100.00%,0,0,55,0,40,0,1742,1639,1639,94.09%,387,1271,471,0,271,72,5668,5586,4573,80.68%,564,1655,4013,0,1326,31,2711,0,0,0,.,0,0,0,0,0,0
MA,17472,16610,15986,91.49%,15104,2282,86,4175,12725,4722,25,813,186,15104,14593,14300,94.68%,472,555,3817,11849,3239,16,96,34,2282,1931,1600,70.11%,358,876,1397,9,681,152,86,86,86,100.00%,0,0,86,0,36,0,4867,4845,3258,66.94%,1500,4431,436,0,130,64,12582,12536,10267,81.60%,1815,4118,8464,0,4030,137,7424,4875,4848,3150,64.62%,1516,3652,1223,0,84,14
MD,5303,4821,4134,77.96%,3444,1770,89,621,2317,2967,19,422,77,3444,3019,2751,79.88%,723,491,389,1624,1801,19,97,41,1770,1713,1294,73.11%,232,693,1077,0,311,36,89,89,89,100.00%,0,0,89,0,14,0,1542,1526,1513,98.12%,347,1080,462,0,180,113,7368,7368,6191,84.03%,1250,3481,3887,0,1432,99,4068,1986,1986,613,30.87%,459,1247,739,0,0,0
ME,2254,1952,1773,78.66%,1222,1017,15,359,1092,1142,20,66,99,1222,1058,911,74.55%,0,190,172,556,650,16,12,57,1017,879,847,83.28%,187,536,477,4,54,42,15,15,15,100.00%,0,0,15,0,0,0,331,331,331,100.00%,81,254,77,0,0,15,2532,2524,2503,98.85%,328,1032,1500,0,332,4,272,115,39,39,33.91%,28,103,12,0,0,0
MI,8630,6601,6241,72.32%,6264,2307,59,1218,4053,4448,129,513,425,6264,4952,4725,75.43%,1100,261,791,2789,3379,96,107,116,2307,1590,1457,63.16%,427,1264,1010,33,363,309,59,59,59,100.00%,0,0,59,0,43,0,3254,3230,3230,99.26%,789,2526,723,5,445,114,11032,11000,8063,73.09%,1652,5245,5787,0,1929,25,5253,939,939,389,41.43%,176,532,407,0,1,9
MN,6356,5467,4683,73.68%,3948,2390,18,1072,3483,2793,80,121,708,3948,3232,2890,73.20%,451,200,566,1964,1936,48,4,176,2390,2217,1775,74.27%,506,1519,839,32,117,532,18,18,18,100.00%,0,0,18,0,0,0,2085,2058,2058,98.71%,556,1668,417,0,108,214,10973,10845,9753,88.88%,1536,4882,6087,4,1040,433,2205,4521,4487,4178,92.41%,764,2460,2048,13,21,180
MO,5866,4019,2991,50.99%,4031,1784,51,870,2433,3276,157,354,482,4031,2443,1952,48.42%,321,760,512,1608,2319,104,136,163,1784,1525,988,55.38%,358,825,906,53,189,319,51,51,51,100.00%,0,0,51,0,29,0,1519,1410,1410,92.82%,310,1062,456,1,290,71,5846,5829,4487,76.75%,842,2440,3406,0,1338,40,5268,192,192,126,65.63%,11,36,156,0,45,0
MP,30,0,0,0.00%,30,0,0,4,5,20,5,0,5,30,0,0,0.00%,0,0,4,5,20,5,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,52,52,0,0.00%,9,48,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MS,1093,747,491,44.92%,640,453,0,142,517,549,27,24,101,640,387,331,51.72%,0,0,87,348,265,27,0,61,453,360,160,35.32%,55,169,284,0,24,40,0,0,0,.,0,0,0,0,0,0,1171,1152,1152,98.38%,323,868,303,0,137,32,662,650,650,98.19%,309,378,284,0,75,0,208,98,98,98,1,6,14,84,0,10,0
MT,1319,1036,106,8.04%,965,354,0,189,795,507,17,109,38,965,753,4,0.41%,40,76,129,604,361,0,0,4,354,283,102,28.81%,60,191,146,17,109,34,0,0,0,.,0,0,0,0,0,0,583,583,583,100.00%,112,293,273,17,118,45,934,934,357,38.22%,159,299,635,0,569,13,265,0,0,0,.,0,0,0,0,0,0
NC,7983,6701,5212,65.29%,5994,1989,0,758,3027,4906,50,492,131,5994,4791,3835,63.98%,568,384,517,2184,3770,40,125,62,1989,1910,1377,69.23%,241,843,1136,10,367,69,0,0,0,.,0,0,0,0,0,0,1673,1673,1627,97.25%,351,1197,476,0,166,5,5798,5789,4322,74.54%,690,2304,3494,0,1872,2,2922,387,387,342,88.37%,92,292,95,0,51,0
ND,754,510,510,67.64%,580,141,33,63,252,472,30,36,55,580,403,403,69.48%,31,64,35,155,395,30,0,30,141,74,74,52.48%,28,97,44,0,3,25,33,33,33,100.00%,0,0,33,0,33,0,123,123,123,100.00%,19,55,68,0,87,0,516,493,261,50.58%,52,138,378,0,135,0,372,103,103,0,0.00%,18,57,46,0,0,0
NE,2558,2279,2244,87.72%,1562,962,34,284,980,1552,26,82,91,1562,1351,1316,84.25%,0,297,121,475,1063,24,10,28,962,894,894,92.93%,163,505,455,2,38,63,34,34,34,1,0,0,34,0,34,0,856,778,778,90.89%,194,638,218,0,112,48,1285,1285,933,72.61%,141,364,921,0,561,53,949,256,256,109,42.58%,27,72,184,0,26,0
NH,1325,1143,1069,80.68%,837,479,9,264,740,573,12,105,57,837,679,626,74.79%,92,82,139,410,415,12,0,12,479,455,434,90.61%,125,330,149,0,104,45,9,9,9,100.00%,0,0,9,0,1,0,213,213,213,100.00%,52,171,42,0,26,0,1131,1131,750,66.31%,163,531,600,0,394,0,274,82,82,67,81.71%,18,49,33,0,0,0
NJ,7151,6374,5979,83.61%,4677,2427,47,1731,3890,3207,54,397,327,4677,4201,3882,83.00%,308,1804,1242,2590,2038,49,39,152,2427,2153,2077,85.58%,489,1300,1122,5,358,175,47,20,20,42.55%,0,0,47,0,0,0,3030,3030,3014,99.47%,1208,2050,980,0,219,56,6838,6802,5451,79.72%,1442,3043,3791,4,1326,237,3783,481,481,436,90.64%,60,171,310,0,33,0
NM,2465,1863,1175,47.67%,1950,515,0,237,888,1456,121,57,171,1950,1401,839,43.03%,124,76,145,611,1244,95,15,95,515,462,336,65.24%,92,277,212,26,42,76,0,0,0,.,0,0,0,0,0,0,809,567,567,70.09%,185,631,178,0,147,20,2209,2209,1366,61.84%,344,888,1321,0,595,0,1363,96,96,96,100.00%,27,96,0,0,0,0
NV,3063,2758,2614,85.34%,1938,1100,25,236,626,2398,39,469,204,1938,1701,1677,86.53%,393,397,155,499,1406,33,81,68,1100,1032,912,82.91%,81,127,967,6,388,136,25,25,25,100.00%,0,0,25,0,0,0,622,601,601,96.62%,93,318,304,0,171,53,3232,3232,1655,51.21%,263,859,2373,0,2095,0,1640,31,31,31,100.00%,0,0,31,0,25,6
NY,89238,85088,75981,85.14%,83571,5562,105,16660,51359,37671,208,738,1500,83571,79663,72681,86.97%,836,2785,16179,50059,33364,148,254,765,5562,5320,3195,57.44%,481,1300,4202,60,407,735,105,105,105,100.00%,0,0,105,0,77,0,5012,4708,4682,93.42%,1073,3531,1469,12,364,215,44905,44312,25805,57.47%,3734,10569,34336,0,7417,669,25200,3209,3209,3136,97.73%,703,2574,635,0,26,0
OH,9231,7671,6582,71.30%,7431,1696,104,1212,3716,5436,79,586,385,7431,6189,5177,69.67%,526,661,921,2966,4392,73,109,206,1696,1378,1301,76.71%,291,750,940,6,425,179,104,104,104,100.00%,0,0,104,0,52,0,4957,4777,4777,96.37%,1048,3694,1263,0,469,131,17978,17839,15936,88.64%,2252,7094,10884,0,2919,213,9970,196,196,34,17.35%,32,64,132,0,20,0
OK,3221,2520,1849,57.40%,2600,613,8,327,1140,2032,49,121,178,2600,1949,1437,55.27%,114,229,233,883,1668,49,49,97,613,563,404,65.91%,94,257,356,0,72,81,8,8,8,100.00%,0,0,8,0,0,0,755,746,746,98.81%,151,474,281,0,215,18,1916,1900,1165,60.80%,146,409,1507,0,794,39,735,0,0,0,.,0,0,0,0,0,0
OR,7147,6507,4064,56.86%,4406,2731,10,771,2311,4705,131,550,441,4406,3933,2369,53.77%,594,174,430,1335,2979,92,168,212,2731,2564,1685,61.70%,341,976,1716,39,382,229,10,10,10,100.00%,0,0,10,0,0,0,4205,3897,3795,90.25%,951,2930,1274,1,515,119,7714,7628,6204,80.43%,1039,2991,4723,0,2165,81,2908,352,352,323,91.76%,27,84,268,0,0,0
PA,12687,11012,9196,72.48%,8457,3923,307,1868,5972,6635,80,702,528,8457,7196,5791,68.48%,1234,375,1145,3908,4496,53,112,244,3923,3509,3117,79.45%,723,2064,1832,27,535,260,307,307,288,93.81%,0,0,307,0,55,24,5423,5106,4981,91.85%,1249,3999,1424,0,415,347,12700,12614,9895,77.91%,1857,5874,6826,0,2770,94,5331,308,304,273,88.64%,18,49,259,0,33,0
PR,855,666,666,77.89%,430,403,22,52,176,661,18,31,31,430,360,360,83.72%,0,4,18,59,353,18,7,18,403,284,284,70.47%,34,117,286,0,24,13,22,22,22,100.00%,0,0,22,0,0,0,289,239,239,82.70%,42,133,156,0,3,6,1899,1771,1717,90.42%,154,459,1440,0,229,4,1194,255,255,255,100.00%,0,0,255,0,0,0
RI,952,778,676,71.01%,662,290,0,133,345,607,0,68,0,662,574,478,72.21%,87,56,74,191,471,0,0,0,290,204,198,68.28%,59,154,136,0,68,0,0,0,0,.,0,0,0,0,0,0,259,259,259,100.00%,50,181,78,0,50,6,1518,1427,1135,74.77%,212,655,863,0,353,5,925,467,467,467,100.00%,47,130,337,0,0,0
SC,3071,2637,1842,59.98%,2209,845,17,211,1180,1855,36,236,132,2209,1843,1268,57.40%,475,8,119,887,1314,8,14,32,845,777,557,65.92%,92,293,524,28,217,100,17,17,17,100.00%,0,0,17,0,5,0,468,468,468,100.00%,74,253,215,0,175,15,2071,2007,1702,82.18%,176,563,1508,0,1226,21,1038,284,284,284,100.00%,33,103,153,28,12,37
SD,1074,627,142,13.22%,939,135,0,216,572,502,0,42,37,939,521,135,14.38%,14,66,193,528,411,0,24,18,135,106,7,5.19%,23,44,91,0,18,19,0,0,0,.,0,0,0,0,0,0,323,273,273,84.52%,82,271,52,0,42,0,602,602,185,30.73%,93,224,378,0,417,0,406,25,25,25,100.00%,0,0,25,0,25,0
TN,5413,4723,2938,54.28%,3306,2094,13,503,1874,3519,20,371,56,3306,2760,1396,42.23%,754,141,217,1001,2286,19,5,23,2094,1950,1529,73.02%,286,873,1220,1,361,33,13,13,13,100.00%,0,0,13,0,5,0,1311,1291,1291,98.47%,252,918,393,0,231,40,4881,4881,3815,78.16%,667,1900,2981,0,1830,4,1949,192,173,173,90.10%,12,40,152,0,0,0
TX,18271,14377,11323,61.97%,13383,4776,112,2164,7744,10216,311,1219,855,13383,10547,8748,65.37%,244,398,1381,5147,7948,288,633,479,4776,3718,2463,51.57%,783,2597,2156,23,519,376,112,112,112,100.00%,0,0,112,0,67,0,5123,4037,3959,77.28%,1204,3754,1369,0,731,246,14069,13821,13131,93.33%,1582,4532,9537,0,5345,129,7601,2513,2513,2230,88.74%,565,1883,630,0,30,20
UT,2927,2118,1886,64.43%,2389,538,0,265,1274,1575,78,108,115,2389,1827,1652,69.15%,80,103,180,971,1340,78,14,78,538,291,234,43.49%,85,303,235,0,94,37,0,0,0,.,0,0,0,0,0,0,1208,1014,1133,93.79%,237,774,434,0,81,56,3012,3004,2850,94.62%,411,1401,1611,0,697,20,1706,98,98,98,100.00%,26,83,15,0,15,0
